Arquivo;Reuniao;Data (AAAA/MM);Tema_Classificado;Ocorrencias;Relevancia_(%);Palavras_Chave_Ativadas;Trecho_Prova_(Auditoria)
05_2014_Pleno_ordin_ata.pdf;5ª Reunião Ordinária;2014;Estrutura e Organização da Rede Viária;33;26.0;cet, corredor, faixa exclusiva, rodizio, semaforo, via;RELATÓRIO 5ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h00 – Palavra Livre 9h15 - Apresentação do estudo técnico da circulação de táxi nos corredores e a influência na velocidade dos ônibus 9h45 - Apresentação do estudo sobre ampliação do Rodízio Municipal 10h00 - Debate 11h00 - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Valter Lopes - coordenador do ponto de táxi do Aeroporto de Congonhas: Questiona a CET sobre reparos necessários ao longo dos corredores e os estreitamentos de faixas ao longo das avenidas.
05_2014_Pleno_ordin_ata.pdf;5ª Reunião Ordinária;2014;Transporte Público Coletivo;29;22.8;frota, onibus, sptrans, transporte coletivo;RELATÓRIO 5ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h00 – Palavra Livre 9h15 - Apresentação do estudo técnico da circulação de táxi nos corredores e a influência na velocidade dos ônibus 9h45 - Apresentação do estudo sobre ampliação do Rodízio Municipal 10h00 - Debate 11h00 - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Em vários hotéis tem esse serviço cobrando taxas abusivas, trajetos que não passaria de R$20,00 são cobrados até 120,00 enfim, é esse o nosso problema que gostaria de deixar registrado que nossa frota de 1972 tem 160 carros e precisaríamos do dobro disso para atender todos os hotéis.
05_2014_Pleno_ordin_ata.pdf;5ª Reunião Ordinária;2014;Transporte Individual: Táxis;25;19.7;taxi, taxista;RELATÓRIO 5ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h00 – Palavra Livre 9h15 - Apresentação do estudo técnico da circulação de táxi nos corredores e a influência na velocidade dos ônibus 9h45 - Apresentação do estudo sobre ampliação do Rodízio Municipal 10h00 - Debate 11h00 - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Palavra Livre: Nilson Carvalho Presidente da Cooperluxo Cooperativa de Táxi Luxo de São Paulo - Apresentou o problema de carros clandestinos particulares fazendo o serviço de táxi para hotéis na cidade de São Paulo, há poucos dias faliu uma das maiores empresas que tinha uma liminar para circular.
05_2014_Pleno_ordin_ata.pdf;5ª Reunião Ordinária;2014;Composição e Governança do Conselho;19;15.0;conselheiro, conselho, eleic, representante;RELATÓRIO 5ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h00 – Palavra Livre 9h15 - Apresentação do estudo técnico da circulação de táxi nos corredores e a influência na velocidade dos ônibus 9h45 - Apresentação do estudo sobre ampliação do Rodízio Municipal 10h00 - Debate 11h00 - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Maurício Antonio Ribeiro Lopes, Representantes dos Operadores – Presidente do Sinditaxi Sr.
05_2014_Pleno_ordin_ata.pdf;5ª Reunião Ordinária;2014;Segurança Viária;10;7.9;seguranca, velocidade;RELATÓRIO 5ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros) 9h00 - Abertura (com qualquer número de conselheiros presentes) 9h00 – Palavra Livre 9h15 - Apresentação do estudo técnico da circulação de táxi nos corredores e a influência na velocidade dos ônibus 9h45 - Apresentação do estudo sobre ampliação do Rodízio Municipal 10h00 - Debate 11h00 - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] Sobre o Corredor da Avenida 23 de Maio, informa que está em estudo e será feita toda a pintura desse trecho até por uma questão de segurança.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Composição e Governança do Conselho;12;27.3;conselheiro, conselho, eleic;RELATÓRIO 6ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros 9h00 - Abertura (com qualquer numero de conselheiros presentes) 9h05 - Palavra Livre 9h35 - Contribuição para o Plano de Mobilidade Urbana preparada pela Rede Nossa São Paulo 10h35 - Debate 11h - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] A abertura deste 6º encontro foi feita pelo presidente do Conselho, o secretário municipal de Transportes, Jilmar Tatto, e a tônica do debate foi a Mobilidade Urbana voltada para a importância de ações que priorizem o transporte público coletivo e o pedestre.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Transporte Público Coletivo;8;18.2;frota, metro, onibus, transporte coletivo;Palavra Livre: Soninha Francine – apresentou em slides algumas fotos de sugestões e reclamações sobre o transporte coletivo Jorge Miguel - Conselheiro TRANSFETUR - Parabeniza o secretario pela condução do conselho, concorda com o secretario quando afirma que a prioridade na cidade é o transporte publico, com base em pesquisas afirma que os usuários que deixaram de ser transportados pelo fretamento, migram para utilizar seus veículos, contribuindo assim para o aumento do transito na cidade, propõem que seja criada uma comissão para estudo do fretamento, formada pelo poder publico, setor de fretamento e técnicos de transito. [...] Francisco - Conselheiro eleito Pessoa com Deficiência – Faz ponderações que a frota de ônibus não é acessível, e por muitas vezes o ônibus encontra-se em manutenção, por este motivo o seguimento da pessoa com deficiência, não consegue participar de eventos e reuniões de seu interesse.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Estrutura e Organização da Rede Viária;5;11.4;corredor, faixa exclusiva, semaforo;Americano – Vereador de Guarulhos – Informou que a portaria do taxi amenizou o problema, precisa ainda analisar a proposta de liberar a faixa exclusiva para taxi. [...] Apresentação Apresentado foi realizado pelo senhor Horácio Figueira, consultor em Mobilidade Urbana, o conjunto de sugestões inclui, por exemplo, “colocar semáforos com foco em pedestres em todos os cruzamentos onde já existam semáforo para veículos” e “prever todas as facilidades para o pedestre no projeto de mobilidade”.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Mobilidade Urbana: Organização Geral e Prestação de Contas;4;9.1;plano de mobilidade;RELATÓRIO 6ª Reunião do Conselho Municipal de Transporte e Trânsito – CMTT Local: Biblioteca Mário de Andrade – Rua da Consolação, 94 – Centro Pauta: 8h30 - Recepção dos conselheiros e convidados 8h45 - Abertura (com 50% mais um dos conselheiros 9h00 - Abertura (com qualquer numero de conselheiros presentes) 9h05 - Palavra Livre 9h35 - Contribuição para o Plano de Mobilidade Urbana preparada pela Rede Nossa São Paulo 10h35 - Debate 11h - Previsão de Encerramento Composição da Mesa: Presidente do CMTT Sr. [...] O coordenador executivo da Rede, Mauríco Broinizi Pereira, destacou que a criação de um conselho de transporte e de um Plano de Mobilidade Sustentável era antigas reivindicações da entidade e que, para a Rede, não faz sentido discutir a cidade sem que haja uma integração em todos os aspectos.
06_2014_Pleno_ordin_ata.pdf;6ª Reunião Ordinária;2014;Transporte Individual: Táxis;4;9.1;alvara, taxi, taxista;Americano – Vereador de Guarulhos – Informou que a portaria do taxi amenizou o problema, precisa ainda analisar a proposta de liberar a faixa exclusiva para taxi. [...] “É duro politicamente, causa desgastes, mas, se estamos fazendo uma mudança, precisamos bancar essa mudança.” A apresentação completa está disponível no link abaixo: http://nossasaopaulo.org.br/portal/arquivos/sugestoes-plano-mobilidade.pdf Ceara - Presidente taxi – Agradece o secretario e o prefeito, pelo liberação da utilização das faixas pelos taxistas e informa que a categoria não irá mais realizar a paralisação.
